Removal_Ratio,Kept_Ratio,Total_Particles,TP,FP,FN,Precision,Recall,F1_Score
0.0,1.0,104,86,0,0,1.0,1.0,1.0
0.05,0.95,98,76,1,10,0.987012987012987,0.8837209302325582,0.9325153374233128
0.1,0.9,93,68,1,18,0.9855072463768116,0.7906976744186046,0.8774193548387097
0.15000000000000002,0.85,88,61,1,25,0.9838709677419355,0.7093023255813954,0.8243243243243245
0.2,0.8,83,53,1,33,0.9814814814814815,0.6162790697674418,0.757142857142857
0.25,0.75,78,49,0,37,1.0,0.5697674418604651,0.7259259259259259
0.30000000000000004,0.7,72,45,0,41,1.0,0.5232558139534884,0.6870229007633588
0.35000000000000003,0.6499999999999999,67,40,0,46,1.0,0.46511627906976744,0.6349206349206349
0.4,0.6,62,34,0,52,1.0,0.3953488372093023,0.5666666666666667
0.45,0.55,57,29,0,57,1.0,0.3372093023255814,0.5043478260869565
0.5,0.5,52,24,0,62,1.0,0.27906976744186046,0.43636363636363634
